CardID,Responded
C0100000113,F
C0100000392,T
C0100000482,T
C0100000586,T
C0100000726,F
C0100000789,F
C0100001467,F
C0100001642,F
C0100001789,F
C0100002071,F
C0100002442,T
C0100002542,F
C0100002737,F
C0100002989,F
C0100003019,F
C0100003070,T
C0100003203,F
C0100003292,F
C0100003524,F
C0100003813,T
C0100004146,F
C0100004652,F
C0100004919,F
C0100004958,T
C0100005070,F
C0100005107,F
C0100005168,F
C0100005246,T
C0100005361,T
C0100005753,T
C0100005906,F
C0100005950,F
C0100006183,F
C0100006569,F
C0100006739,F
C0100006929,F
C0100007186,F
C0100008540,F
C0100008875,F
C0100008882,F
C0100009109,T
C0100009847,F
C0100009974,T
C0100010115,F
C0100010322,F
C0100010723,F
C0100010871,F
C0100010948,F
C0100011037,F
C0100011178,F
C0100011221,F
C0100011269,F
C0100011320,F
C0100011364,F
C0100011814,T
C0100012109,F
C0100012351,F
C0100012691,F
C0100012741,F
C0100013391,F
C0100013961,F
C0100014780,F
C0100014844,F
C0100014847,F
C0100014933,F
C0100015204,F
C0100015850,F
C0100015979,F
C0100016100,F
C0100016215,T
C0100016280,F
C0100016508,F
C0100016632,F
C0100016812,F
C0100017045,F
C0100017132,T
C0100017267,F
C0100017360,T
C0100017429,F
C0100017494,F
C0100017576,F
C0100017830,F
C0100017880,F
C0100018515,F
C0100018670,F
C0100019010,F
C0100019354,F
C0100019429,F
C0100019754,F
C0100019876,T
C0100019952,F
C0100020137,T
C0100020301,T
C0100020396,F
C0100021016,F
C0100021088,F
C0100021204,F
C0100021623,T
C0100021752,F
C0100021825,F
C0100021829,F
C0100021892,F
C0100021905,F
C0100022191,T
C0100022419,F
C0100022505,F
C0100022654,F
C0100022971,F
C0100023334,F
C0100023787,F
C0100024159,F
C0100024169,T
C0100024347,F
C0100024573,F
C0100024646,F
C0100025033,T
C0100025113,F
C0100025342,T
C0100025376,F
C0100025837,F
C0100026120,F
C0100026209,F
C0100026244,F
C0100026458,F
C0100026850,F
C0100027296,T
C0100027472,F
C0100027542,F
C0100027795,F
C0100027879,F
C0100027918,F
C0100028048,F
C0100028129,F
C0100028362,F
C0100028528,F
C0100028780,F
C0100028868,T
C0100028916,T
C0100029044,F
C0100029665,F
C0100030036,F
C0100030226,F
C0100030643,F
C0100030789,F
C0100031092,F
C0100031160,F
C0100031634,F
C0100031928,T
C0100032164,F
C0100032211,T
C0100032585,T
C0100032662,F
C0100032793,F
C0100033127,T
C0100033162,F
C0100033315,T
C0100033408,T
C0100033751,F
C0100034757,F
C0100035054,F
C0100035312,F
C0100035360,F
C0100035471,F
C0100035494,T
C0100035579,F
C0100035614,F
C0100035648,F
C0100035738,F
C0100035795,F
C0100036143,F
C0100036442,F
C0100036651,F
C0100037119,F
C0100037561,F
C0100037664,T
C0100037745,F
C0100038005,F
C0100038323,F
C0100038418,F
C0100038564,F
C0100039107,F
C0100039145,F
C0100039207,F
C0100039329,F
C0100039696,T
C0100039781,F
C0100040395,F
C0100040726,F
C0100040738,F
C0100040943,F
C0100041032,F
C0100041651,F
C0100041742,T
C0100042188,T
C0100042400,F
C0100042407,F
C0100042488,F
C0100042609,F
C0100042759,F
C0100043161,T
C0100043209,F
C0100043696,F
C0100043775,F
C0100043922,F
C0100043932,F
C0100043950,T
C0100044012,T
C0100044117,T
C0100044161,F
C0100044513,F
C0100045230,F
C0100045500,F
C0100046387,F
C0100046646,F
C0100046811,F
C0100046905,F
C0100046981,F
C0100047433,F
C0100047521,T
C0100047804,F
C0100047902,F
C0100048274,F
C0100048432,F
C0100048487,F
C0100048500,T
C0100048761,F
C0100048839,F
C0100048927,F
C0100049240,F
C0100049320,F
C0100049479,T
C0100049745,T
C0100049778,F
C0100049791,F
C0100050162,F
C0100050228,F
C0100050607,F
C0100050745,F
C0100050937,F
C0100051407,F
C0100051593,F
C0100051982,F
C0100052332,F
C0100052667,F
C0100053064,F
C0100053238,F
C0100053660,F
C0100054051,F
C0100054115,F
C0100054387,T
C0100054486,T
C0100054774,F
C0100055409,F
C0100055636,T
C0100055831,F
C0100055917,F
C0100056127,F
C0100056341,F
C0100056460,F
C0100056583,T
C0100057309,F
C0100057584,F
C0100057702,F
C0100057771,F
C0100057905,T
C0100057977,F
C0100058098,F
C0100058134,F
C0100058453,F
C0100058917,F
C0100058976,T
C0100059847,F
C0100059912,T
C0100060358,F
C0100060364,F
C0100060983,F
C0100061157,T
C0100061403,F
C0100061513,T
C0100061592,F
C0100062063,T
C0100062617,F
C0100062746,F
C0100063161,F
C0100063262,F
C0100063410,F
C0100063466,F
C0100063616,F
C0100064299,F
C0100064538,F
C0100064550,F
C0100064668,F
C0100064725,F
C0100064912,F
C0100065149,F
C0100065286,F
C0100065549,F
C0100065578,F
C0100065711,F
C0100066025,F
C0100066531,F
C0100066802,F
C0100066967,F
C0100067121,F
C0100067455,F
C0100067568,F
C0100068537,T
C0100068741,T
C0100069107,F
C0100069117,T
C0100069158,F
C0100070019,T
C0100070358,F
C0100071274,F
C0100071761,F
C0100071840,F
C0100071928,F
C0100072015,F
C0100072325,T
C0100072471,F
C0100073002,T
C0100073395,F
C0100073435,T
C0100073443,T
C0100073851,F
C0100073982,F
C0100073984,F
C0100074474,F
C0100075116,F
C0100075346,F
C0100075444,F
C0100075850,T
C0100076054,F
C0100076219,F
C0100077021,F
C0100077320,F
C0100077329,F
C0100077654,T
C0100077842,F
C0100077892,T
C0100077971,F
C0100077984,F
C0100078366,F
C0100078553,F
C0100079191,F
C0100079287,F
C0100079386,F
C0100079516,F
C0100079638,F
C0100079764,F
C0100079965,F
C0100080187,F
C0100080672,F
C0100080797,F
C0100080803,F
C0100081065,F
C0100081066,F
C0100081271,F
C0100081360,F
C0100081718,F
C0100081813,F
C0100081854,F
C0100081868,T
C0100081970,F
C0100082034,T
C0100082119,F
C0100082279,F
C0100082420,F
C0100082746,F
C0100082993,F
C0100083064,F
C0100083249,F
C0100083605,F
C0100083690,F
C0100083693,F
C0100083843,T
C0100083912,F
C0100084110,F
C0100084635,T
C0100084812,F
C0100084896,F
C0100085447,F
C0100085513,F
C0100085618,F
C0100085967,F
C0100086582,T
C0100086955,F
C0100086983,F
C0100087047,F
C0100087219,F
C0100087310,F
C0100087449,F
C0100087513,F
C0100087838,F
C0100088075,T
C0100088209,F
C0100088416,F
C0100088904,F
C0100089051,F
C0100089098,F
C0100089232,F
C0100089431,F
C0100089485,T
C0100089846,T
C0100089941,F
C0100090015,F
C0100090282,T
C0100090539,F
C0100090716,F
C0100090906,F
C0100091000,F
C0100091001,F
C0100091522,F
C0100091615,F
C0100091654,F
C0100091864,F
C0100092552,F
C0100092903,F
C0100093022,T
C0100093239,F
C0100093553,F
C0100094029,T
C0100094326,F
C0100094907,F
C0100095157,F
C0100095192,F
C0100095487,F
C0100095489,F
C0100095597,T
C0100095662,F
C0100095788,F
C0100095834,F
C0100095914,F
C0100095927,F
C0100096030,F
C0100096082,F
C0100096419,F
C0100096545,T
C0100096644,F
C0100096778,F
C0100097178,F
C0100097185,F
C0100097240,T
C0100097460,T
C0100097620,F
C0100097675,T
C0100097702,T
C0100098064,F
C0100098126,F
C0100098347,F
C0100098573,F
C0100098621,T
C0100098762,F
C0100099278,F
C0100099526,T
C0100099962,T
C0100099967,F
C0100100019,F
C0100100178,F
C0100100274,T
C0100100411,F
C0100100412,F
C0100100538,F
C0100100677,F
C0100101030,F
C0100101041,F
C0100101352,F
C0100102209,F
C0100102233,F
C0100102325,F
C0100102484,F
C0100102755,T
C0100102776,F
C0100103101,F
C0100103126,F
C0100103314,T
C0100103390,F
C0100104090,T
C0100104291,T
C0100104545,F
C0100105855,F
C0100105926,F
C0100106622,F
C0100106924,F
C0100107046,F
C0100107111,T
C0100107248,F
C0100107361,T
C0100107374,F
C0100107453,F
C0100107694,F
C0100108319,F
C0100108409,F
C0100108789,F
C0100108852,F
C0100109157,F
C0100109628,F
C0100110034,F
C0100110116,F
C0100110174,F
C0100110245,F
C0100110378,F
C0100110602,F
C0100111217,F
C0100111305,F
C0100111730,F
C0100111871,F
C0100112198,F
C0100112217,T
C0100113090,F
C0100113231,F
C0100113300,F
C0100113640,F
C0100113642,T
C0100113997,T
C0100114827,F
C0100115405,F
C0100115739,F
C0100116899,T
C0100117226,F
C0100117378,F
C0100117421,T
C0100117714,F
C0100117888,F
C0100118078,F
C0100118094,F
C0100118157,F
C0100118270,F
C0100118374,F
C0100118644,T
C0100119158,F
C0100119233,F
C0100119469,T
C0100119493,F
C0100119574,F
C0100119957,F
C0100120308,T
C0100120619,T
C0100120920,T
C0100120955,F
C0100121055,F
C0100121104,T
C0100121187,T
C0100121313,F
C0100121324,T
C0100121407,F
C0100121721,T
C0100121955,F
C0100122073,F
C0100122108,F
C0100122158,F
C0100122365,F
C0100122578,F
C0100122587,F
C0100122643,F
C0100122763,T
C0100123734,T
C0100124048,F
C0100124200,T
C0100124784,F
C0100125071,F
C0100125098,F
C0100125713,F
C0100125987,F
C0100126396,F
C0100126453,F
C0100126810,F
C0100126919,F
C0100127339,F
C0100127444,F
C0100127624,F
C0100128189,F
C0100128275,F
C0100128436,T
C0100128776,F
C0100128877,F
C0100128992,F
C0100129067,F
C0100129157,T
C0100129237,F
C0100129283,F
C0100129460,F
C0100129503,F
C0100130608,T
C0100130732,F
C0100131021,T
C0100131171,F
C0100131204,F
C0100131210,F
C0100131419,F
C0100132000,F
C0100132066,F
C0100132227,T
C0100132412,F
C0100132467,F
C0100132560,F
C0100133007,F
C0100133018,F
C0100133389,F
C0100133437,F
C0100133737,F
C0100134404,F
C0100134473,F
C0100134564,F
C0100134912,F
C0100135212,F
C0100135242,F
C0100135335,T
C0100135661,F
C0100135834,F
C0100136187,F
C0100136406,F
C0100136527,F
C0100136945,F
C0100137090,F
C0100137169,F
C0100137508,F
C0100137622,F
C0100137690,F
C0100137734,T
C0100137835,F
C0100137960,T
C0100138202,F
C0100138386,T
C0100138661,F
C0100138972,F
C0100138979,T
C0100139141,F
C0100139734,F
C0100139806,F
C0100140039,F
C0100140207,F
C0100140679,T
C0100141427,F
C0100141433,F
C0100141850,F
C0100141965,F
C0100142192,F
C0100142330,F
C0100142355,F
C0100142472,F
